timestamp,context,num_transactions,min_support,min_confidence,num_frequent_itemsets,num_rules,avg_confidence,max_confidence,runtime_seconds,status,error
2026-01-23 11:20:04,time_bucket=afternoon|is_weekend=0|day_of_week=3|basket_size_category=large|purchase_frequency=medium,8458,0.002,0.1,4137,2098,0.2179,0.8261,4.85,success,
2026-01-23 11:20:07,time_bucket=afternoon|is_weekend=1|day_of_week=0|basket_size_category=medium|purchase_frequency=low,19785,0.002,0.1,968,216,0.1655,0.339,2.99,success,
2026-01-23 11:20:18,time_bucket=afternoon|is_weekend=0|day_of_week=3|basket_size_category=large|purchase_frequency=high,24358,0.002,0.1,4398,2365,0.2307,0.7538,10.22,success,
2026-01-23 11:20:20,time_bucket=morning|is_weekend=0|day_of_week=5|basket_size_category=small|purchase_frequency=low,3079,0.002,0.1,222,9,0.2282,0.6296,2.05,success,
2026-01-23 11:20:28,time_bucket=afternoon|is_weekend=0|day_of_week=2|basket_size_category=large|purchase_frequency=low,4561,0.002,0.1,3998,2089,0.222,0.7857,8.19,success,
2026-01-23 11:20:33,time_bucket=night|is_weekend=0|day_of_week=3|basket_size_category=medium|purchase_frequency=low,508,0.002,0.1,5714,3000,1.0,1.0,4.78,success,
2026-01-23 11:20:36,time_bucket=evening|is_weekend=0|day_of_week=3|basket_size_category=small|purchase_frequency=high,10641,0.002,0.1,196,2,0.1125,0.1143,3.04,success,
2026-01-23 11:20:43,time_bucket=morning|is_weekend=1|day_of_week=6|basket_size_category=medium|purchase_frequency=high,49396,0.002,0.1,1042,252,0.17,0.3665,7.75,success,
2026-01-23 11:20:50,time_bucket=night|is_weekend=0|day_of_week=5|basket_size_category=small|purchase_frequency=high,1200,0.002,0.1,292,57,0.487,1.0,6.49,success,
2026-01-23 11:20:53,time_bucket=morning|is_weekend=1|day_of_week=6|basket_size_category=small|purchase_frequency=low,2876,0.002,0.1,268,8,0.1258,0.1957,2.82,success,
2026-01-23 11:20:57,time_bucket=evening|is_weekend=0|day_of_week=4|basket_size_category=small|purchase_frequency=high,10563,0.002,0.1,193,3,0.1352,0.1509,3.99,success,
2026-01-23 11:20:59,time_bucket=afternoon|is_weekend=0|day_of_week=1|basket_size_category=small|purchase_frequency=high,32738,0.002,0.1,222,7,0.2187,0.4563,2.24,success,
2026-01-23 11:21:01,time_bucket=afternoon|is_weekend=0|day_of_week=3|basket_size_category=small|purchase_frequency=medium,9304,0.002,0.1,211,5,0.2146,0.4648,1.98,success,
2026-01-23 11:21:04,time_bucket=evening|is_weekend=0|day_of_week=1|basket_size_category=medium|purchase_frequency=medium,11705,0.002,0.1,936,185,0.1698,0.3836,2.88,success,
2026-01-23 11:21:12,time_bucket=night|is_weekend=0|day_of_week=4|basket_size_category=large|purchase_frequency=high,983,0.002,0.1,280080,3000,1.0,1.0,7.78,success,
2026-01-23 11:21:14,time_bucket=evening|is_weekend=0|day_of_week=1|basket_size_category=small|purchase_frequency=high,11087,0.002,0.1,199,2,0.1183,0.1184,2.69,success,
2026-01-23 11:21:25,time_bucket=afternoon|is_weekend=0|day_of_week=5|basket_size_category=large|purchase_frequency=high,29744,0.002,0.1,4581,2598,0.2401,0.8434,10.25,success,
2026-01-23 11:21:27,time_bucket=morning|is_weekend=0|day_of_week=5|basket_size_category=medium|purchase_frequency=medium,14534,0.002,0.1,858,136,0.1808,0.375,2.87,success,
